City_ID,City,Country,Date,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Lambarene,GA,2022-10-01 16:12:29,-0.7001,10.2406,77.29,87,100,6.15
139,Lasa,IT,2022-10-01 16:12:30,46.6166,10.7002,55.36,85,92,3.22
140,Thompson,CA,2022-10-01 16:09:26,55.7435,-97.8558,43.3,38,0,6.46
141,Hay River,CA,2022-10-01 16:13:31,60.8156,-115.7999,55.38,82,75,6.91
142,Olafsvik,IS,2022-10-01 16:13:31,64.8945,-23.7142,47.84,88,100,18.5
143,Codrington,AU,2022-10-01 16:13:32,-38.2667,141.9667,45.14,90,0,5.99
144,Coihaique,CL,2022-10-01 16:13:33,-45.5752,-72.0662,53.55,43,0,6.91
145,Matata,NZ,2022-10-01 16:13:34,-37.8833,176.75,63.84,99,100,6.46
146,Duda,RO,2022-10-01 16:13:34,46.7525,28.0372,74.59,40,100,10.54
147,Canto Do Buriti,BR,2022-10-01 16:13:35,-8.11,-42.9444,96.31,16,25,10.2
148,Soyo,AO,2022-10-01 16:13:35,-6.1349,12.3689,77.72,82,84,11.12
149,Ovsyanka,RU,2022-10-01 16:13:36,55.9575,92.5519,33.22,94,99,4.07
150,Buchanan,LR,2022-10-01 16:13:37,5.8808,-10.0467,78.26,85,97,11.54
151,Galesburg,US,2022-10-01 16:13:37,40.9478,-90.3712,67.78,70,0,3.44
152,Aswan,EG,2022-10-01 16:13:38,24.0934,32.907,99.75,13,0,21.32
153,Touros,BR,2022-10-01 16:13:39,-5.1989,-35.4608,84.31,59,17,19.93
154,Lewistown,US,2022-10-01 16:13:39,40.5992,-77.5714,57.94,90,75,8.05
155,Barra Do Garcas,BR,2022-10-01 16:13:40,-15.89,-52.2567,102.6,21,58,5.7
156,Limbang,MY,2022-10-01 16:13:41,4.75,115.0,80.71,97,100,1.66
157,Ismailia,EG,2022-10-01 16:13:41,30.6043,32.2723,91.47,46,0,9.22
158,Liepaja,LV,2022-10-01 16:13:42,56.5419,21.0367,53.58,87,0,3.44
159,Bilma,NE,2022-10-01 16:13:43,18.6853,12.9164,103.57,14,32,10.65
160,Buraydah,SA,2022-10-01 16:13:43,26.326,43.975,84.81,11,0,12.33
161,Fort Nelson,CA,2022-10-01 16:13:44,58.8053,-122.7002,45.99,87,75,3.44
162,Bambous Virieux,MU,2022-10-01 16:13:45,-20.3428,57.7575,70.21,78,40,8.05
163,Micheweni,TZ,2022-10-01 16:13:46,-4.9667,39.8333,75.81,75,12,13.42
164,Tungor,RU,2022-10-01 16:13:46,53.3808,142.9564,34.47,71,11,9.71
165,Souillac,MU,2022-10-01 16:13:47,-20.5167,57.5167,70.18,78,40,8.05
166,Dikson,RU,2022-10-01 16:13:47,73.5069,80.5464,34.32,99,100,13.29
167,Rapid City,US,2022-10-01 16:10:50,44.0805,-103.231,63.7,80,100,21.85
168,San Andres,CO,2022-10-01 16:13:48,12.5847,-81.7006,86.02,74,75,8.05
169,Hamilton,US,2022-10-01 16:08:57,39.1834,-84.5333,67.98,49,0,16.11
170,Ust-Kulom,RU,2022-10-01 16:13:49,61.6864,53.6902,43.68,89,100,7.9
171,Iztapa,GT,2022-10-01 16:13:50,13.9333,-90.7075,86.05,79,40,6.91
172,Goderich,CA,2022-10-01 16:13:51,43.7501,-81.7165,61.12,63,100,11.5
173,Korla,CN,2022-10-01 16:13:51,41.7597,86.1469,56.82,28,100,5.17
174,Bystrice,CZ,2022-10-01 16:13:52,49.6366,18.7204,55.99,88,100,5.99
175,Olean,US,2022-10-01 16:13:52,42.0776,-78.4297,61.66,71,0,12.66
176,Zeya,RU,2022-10-01 16:13:53,53.75,127.2667,38.23,69,100,7.99
177,Piacabucu,BR,2022-10-01 16:13:54,-10.4056,-36.4344,81.54,53,5,10.29
178,Sakakah,SA,2022-10-01 16:13:54,29.9697,40.2064,90.97,15,0,6.29
179,Kapoeta,SS,2022-10-01 16:13:55,4.7717,33.5903,89.02,29,55,9.1
180,Sao Filipe,CV,2022-10-01 16:13:55,14.8961,-24.4956,79.9,77,18,7.83
181,Howard Springs,AU,2022-10-01 16:13:56,-12.497,131.047,75.11,93,91,4.74
182,Cidreira,BR,2022-10-01 16:13:57,-30.1811,-50.2056,66.45,73,72,14.32
183,Frontera,MX,2022-10-01 16:13:44,26.9333,-101.45,77.32,42,9,3.0
184,Vilhena,BR,2022-10-01 16:13:58,-12.7406,-60.1458,94.01,31,33,2.46
185,Port Hedland,AU,2022-10-01 16:13:59,-20.3167,118.5667,75.25,78,75,12.66
186,Laguna,US,2022-10-01 16:13:59,38.421,-121.4238,78.08,73,0,4.61
187,Leshukonskoye,RU,2022-10-01 16:15:00,64.8989,45.7622,40.75,97,76,4.59
188,Tela,HN,2022-10-01 16:15:01,15.7833,-87.45,80.55,89,75,3.44
189,Lagoa,PT,2022-10-01 16:15:02,39.05,-27.9833,71.15,77,14,19.01
190,Synya,RU,2022-10-01 16:15:02,65.3718,58.0387,37.81,93,100,12.35
191,Lebu,CL,2022-10-01 16:15:03,-37.6167,-73.65,59.09,68,13,12.86
192,Arlit,NE,2022-10-01 16:15:04,18.7369,7.3853,93.61,30,60,15.7
193,Ayagoz,KZ,2022-10-01 16:15:05,47.9714,80.4392,27.59,69,3,14.76
194,Torbay,CA,2022-10-01 16:15:05,47.6666,-52.7314,64.58,55,20,25.32
195,Esso,RU,2022-10-01 16:15:06,55.9333,158.7,32.23,95,100,3.4
196,Swift Current,CA,2022-10-01 16:15:07,50.2834,-107.8014,49.01,93,100,11.5
197,Evensk,RU,2022-10-01 16:15:08,61.95,159.2333,28.58,87,90,7.92
198,Riyadh,SA,2022-10-01 16:14:52,24.6877,46.7219,89.74,11,0,7.02
199,Gat,IL,2022-10-01 16:15:09,31.61,34.7642,85.41,100,0,9.55
200,Belyy Yar,RU,2022-10-01 16:15:10,53.6039,91.3903,30.09,71,0,0.0
201,Terrace,CA,2022-10-01 16:10:39,54.5163,-128.6035,53.51,100,100,6.91
202,Longyearbyen,SJ,2022-10-01 16:15:11,78.2186,15.6401,37.24,93,75,5.75
203,Disna,BY,2022-10-01 16:15:11,55.568,28.1971,45.61,96,100,4.03
204,Lavumisa,SZ,2022-10-01 16:15:12,-27.31,31.892,74.5,72,19,12.62
205,Stephenville Crossing,CA,2022-10-01 16:15:13,48.5,-58.4318,58.21,77,40,17.27
206,Durazno,UY,2022-10-01 16:15:13,-33.4131,-56.5006,67.95,52,75,9.22
207,Carnarvon,AU,2022-10-01 16:15:14,-24.8667,113.6333,67.62,78,0,22.93
208,Ponta Do Sol,PT,2022-10-01 16:15:14,32.6667,-17.1,78.71,70,80,2.17
209,Havoysund,NO,2022-10-01 16:15:15,70.9963,24.6622,43.03,66,62,10.71
210,Tuktoyaktuk,CA,2022-10-01 16:15:16,69.4541,-133.0374,32.0,93,100,10.36
211,Rocha,UY,2022-10-01 16:12:27,-34.4833,-54.3333,66.42,56,5,7.96
212,Moshkovo,RU,2022-10-01 16:15:17,55.3053,83.6104,28.96,85,86,2.06
213,Barrow,US,2022-10-01 16:15:18,71.2906,-156.7887,26.62,86,100,11.5
214,San Patricio,US,2022-10-01 16:15:18,28.017,-97.5169,83.16,38,0,9.37
215,Price,US,2022-10-01 16:15:19,39.5994,-110.8107,55.11,66,0,3.44
216,Nador,MA,2022-10-01 16:15:20,35.174,-2.9287,75.27,60,20,13.8
217,Kortkeros,RU,2022-10-01 16:15:21,61.8106,51.5806,46.4,97,100,8.55
218,Ossora,RU,2022-10-01 16:15:21,59.2353,163.0719,39.15,77,65,5.26
219,Victoria,HK,2022-10-01 16:12:09,22.2855,114.1577,83.32,86,50,8.99
220,Vila Franca Do Campo,PT,2022-10-01 16:14:31,37.7167,-25.4333,73.81,74,59,12.73
221,Colombo,LK,2022-10-01 16:13:43,6.9319,79.8478,79.92,86,96,15.66
222,Ames,US,2022-10-01 16:10:57,42.0347,-93.6199,69.1,50,0,13.8
223,Shostka,UA,2022-10-01 16:15:24,51.863,33.4698,59.85,72,98,9.78
224,Latung,PH,2022-10-01 16:15:25,5.5,120.8833,83.84,70,79,2.98
225,Baykit,RU,2022-10-01 16:15:25,61.67,96.37,28.67,84,100,3.2
226,Thinadhoo,MV,2022-10-01 16:15:26,0.5333,72.9333,82.15,74,52,14.47
227,Krasnovishersk,RU,2022-10-01 16:15:27,60.4078,57.082,42.66,79,100,6.55
228,Shimonoseki,JP,2022-10-01 16:15:27,33.95,130.95,69.8,78,0,2.3
229,Aksarka,RU,2022-10-01 16:15:28,66.5606,67.7975,31.98,69,79,13.73
230,Khilok,RU,2022-10-01 16:15:29,51.3674,110.4676,24.82,91,69,7.61
231,Fortuna,US,2022-10-01 16:15:29,40.5982,-124.1573,55.74,43,60,2.75
232,Lahat,ID,2022-10-01 16:15:30,-3.8,103.5333,73.94,99,100,2.06
233,Yuci,CN,2022-10-01 16:15:31,37.6803,112.7319,60.55,94,100,6.71
234,Houston,US,2022-10-01 16:14:10,29.7633,-95.3633,80.35,44,0,8.05
235,Leningradskiy,RU,2022-10-01 16:15:32,69.3833,178.4167,26.92,83,100,8.95
236,Safford,US,2022-10-01 16:15:33,32.834,-109.7076,79.11,46,0,9.22
237,San Cristobal,VE,2022-10-01 16:16:34,7.7669,-72.225,78.98,54,100,7.2
238,Kloulklubed,PW,2022-10-01 16:16:34,7.0419,134.2556,73.9,76,94,8.68
239,Deputatskiy,RU,2022-10-01 16:16:35,69.3,139.9,5.7,96,91,4.36
240,Praia Da Vitoria,PT,2022-10-01 16:16:36,38.7333,-27.0667,75.45,73,20,17.76
241,Merauke,ID,2022-10-01 16:16:37,-8.4667,140.3333,78.57,89,96,11.14
242,Zaraza,VE,2022-10-01 16:16:37,9.3503,-65.3245,88.57,60,58,7.34
243,Upernavik,GL,2022-10-01 16:13:08,72.7868,-56.1549,22.66,78,33,6.11
244,San-Pedro,CI,2022-10-01 16:16:39,4.7485,-6.6363,77.05,91,93,11.79
245,Amarillo,US,2022-10-01 16:11:50,35.222,-101.8313,80.1,38,0,11.5
