City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Severo-Kurilsk,RU,50.6789,156.125,44.91,82,100,14.52,overcast clouds
141,Laguna,US,38.421,-121.4238,86.31,51,0,3.0,clear sky
142,Makakilo City,US,21.3469,-158.0858,81.99,70,0,0.0,clear sky
143,Upata,VE,8.0086,-62.3989,87.19,54,95,5.08,overcast clouds
144,Loreto,MX,22.2667,-101.9667,75.63,14,12,10.49,few clouds
145,Caravelas,BR,-17.7125,-39.2481,74.84,65,86,8.28,overcast clouds
146,Bluff,NZ,-46.6,168.3333,39.76,88,79,7.31,broken clouds
147,Kavaratti,IN,10.5669,72.642,81.41,76,97,16.37,overcast clouds
148,Menongue,AO,-14.6585,17.691,72.66,18,8,5.75,clear sky
149,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,100,8.05,overcast clouds
150,Dunedin,NZ,-45.8742,170.5036,43.81,79,34,2.86,scattered clouds
151,Tarija,BO,-21.5355,-64.7296,76.91,27,22,6.91,few clouds
152,Lakes Entrance,AU,-37.8811,147.981,39.16,90,10,4.34,clear sky
153,Dali,CN,25.7,100.1833,60.03,93,28,1.72,scattered clouds
154,Labuhan,ID,-6.8844,112.2051,79.05,80,100,8.05,overcast clouds
155,Port Elizabeth,ZA,-33.918,25.5701,61.32,91,20,5.75,few clouds
156,Aklavik,CA,68.2191,-135.0107,31.75,97,100,12.57,overcast clouds
157,Christchurch,NZ,-43.5333,172.6333,47.91,95,75,3.44,broken clouds
158,Amazar,RU,53.858,120.875,33.37,96,8,5.19,clear sky
159,Nizhniy Kuranakh,RU,58.8353,125.4869,33.04,98,100,2.57,light snow
160,Manaure,CO,11.7751,-72.4445,88.25,59,87,5.35,overcast clouds
161,Bengkulu,ID,-3.8004,102.2655,74.8,93,100,3.11,overcast clouds
162,Acapulco,MX,16.8634,-99.8901,84.04,73,27,5.99,scattered clouds
163,Anisoc,GQ,1.8658,10.7689,70.02,99,100,0.92,moderate rain
164,Lebu,CL,-37.6167,-73.65,57.04,68,0,12.3,clear sky
165,Mwinilunga,ZM,-11.7358,24.4293,67.32,36,7,2.21,clear sky
166,Turukhansk,RU,65.8167,87.9833,29.79,80,100,6.44,overcast clouds
167,Atbasar,KZ,51.8,68.3333,30.63,49,5,6.69,clear sky
168,Komsomolskiy,UZ,40.4272,71.7189,63.32,42,97,2.3,overcast clouds
169,Moindou,NC,-21.6924,165.677,68.58,72,100,0.31,overcast clouds
170,Erdenet,MN,49.0333,104.0833,23.11,79,98,5.06,overcast clouds
171,Rawson,AR,-43.3002,-65.1023,57.72,43,10,13.31,clear sky
172,Varkkallai,IN,8.7341,76.7067,82.18,86,100,6.06,overcast clouds
173,Mount Gambier,AU,-37.8333,140.7667,46.04,96,5,3.6,clear sky
174,Carnarvon,AU,-24.8667,113.6333,66.51,74,0,19.53,clear sky
175,Grandview,US,38.8858,-94.533,78.98,37,0,8.05,clear sky
176,Saskylakh,RU,71.9167,114.0833,31.75,98,100,9.04,overcast clouds
